Order_ID,Order_Date,Region,City,Product_ID,Product_Name,Category,Product_Tier,Channel,Customer_Segment,Quantity,Unit_Price,Discount_Pct,Sales,Gross_Margin_Pct,Gross_Profit
ORD10001,2023-08-17,North,Lucknow,P005,4K Monitor,Electronics,Premium,Online,Consumer,4,32808.41,11.26,116462.4,14.76,17194.27
ORD10002,2023-07-29,North,Lucknow,P007,Standing Desk,Furniture,Premium,Online,Consumer,1,26171.22,7.64,24172.59,22.51,5441.36
ORD10003,2024-04-21,North,Lucknow,P004,Mechanical Keyboard,Accessories,Mid,Retail,SMB,2,5305.81,1.91,10408.52,36.59,3808.01
ORD10004,2025-05-09,South,Chennai,P010,Webcam HD,Accessories,Budget,Online,Enterprise,2,4513.75,13.98,7765.09,25.38,1970.86
ORD10005,2023-11-23,West,Pune,P005,4K Monitor,Electronics,Premium,Online,Enterprise,1,32757.95,12.3,28729.1,15.76,4527.56
ORD10006,2024-11-20,North,Delhi,P007,Standing Desk,Furniture,Premium,Online,SMB,1,27626.45,7.14,25653.92,21.06,5403.5
ORD10007,2024-06-25,North,Lucknow,P008,Desk Lamp,Furniture,Budget,Online,Enterprise,3,2574.6,27.5,5599.57,23.27,1302.87
ORD10008,2025-02-14,North,Lucknow,P005,4K Monitor,Electronics,Premium,Retail,SMB,1,31192.73,9.97,28083.46,13.67,3838.37
ORD10009,2025-01-10,South,Hyderabad,P002,Laptop Air 13,Electronics,Mid,Online,Consumer,2,62135.06,11.55,109921.54,18.23,20041.88
ORD10010,2024-08-15,North,Delhi,P002,Laptop Air 13,Electronics,Mid,Online,Consumer,1,65945.95,8.27,60494.11,21.05,12734.63
ORD10011,2025-01-17,South,Chennai,P006,Office Chair,Furniture,Premium,Online,Consumer,2,17860.85,6.22,33498.56,25.17,8432.71
ORD10012,2023-05-27,South,Hyderabad,P012,Smartphone X,Electronics,Premium,Online,Consumer,1,56395.81,14.39,48280.48,7.93,3829.78
ORD10013,2024-07-06,South,Hyderabad,P006,Office Chair,Furniture,Premium,Retail,SMB,4,18358.02,10.38,65811.04,24.98,16442.03
ORD10014,2024-04-14,North,Jaipur,P007,Standing Desk,Furniture,Premium,Online,Consumer,3,27006.87,11.52,71685.58,20.54,14723.85
ORD10015,2024-10-06,South,Hyderabad,P008,Desk Lamp,Furniture,Budget,Online,Enterprise,3,2546.48,11.45,6764.86,31.32,2118.86
ORD10016,2025-07-28,South,Chennai,P003,Wireless Headphones,Accessories,Mid,Online,SMB,3,7045.0,8.08,19427.47,28.12,5463.51
ORD10017,2024-06-22,West,Ahmedabad,P007,Standing Desk,Furniture,Premium,Online,Enterprise,2,27770.64,11.84,48964.76,17.78,8706.81
ORD10018,2023-10-11,West,Mumbai,P001,Laptop Pro 14,Electronics,Premium,Corporate,Consumer,2,88693.96,9.41,160688.29,15.44,24816.91
ORD10019,2023-11-24,West,Ahmedabad,P002,Laptop Air 13,Electronics,Mid,Online,SMB,1,64730.15,12.04,56937.8,17.77,10115.5
